UWI,Measured Depth,TV Depth,Deviation Angle,Deviation Azimuth,Deviation N/S,N/S,Deviation E/W,E/W,PRODFit Formation Code,PRODFit Formation Name,Point Type Code,Point Type Name
Well_A,7654,7651.41,2.,256.3,92.48,S,0.41,W,,,,
Well_A,7700,7697.38,1.9,253.3,92.9,S,1.94,W,,,,
Well_A,7743,7740.26,6.5,227.9,94.74,S,4.44,W,,,,
Well_A,7774,7770.84,12.1,238.8,97.6,S,8.52,W,,,,
Well_A,7806,7801.75,17.8,234.9,102.15,S,15.4,W,,,,
Well_A,7838,7831.67,23.6,231.8,108.93,S,24.44,W,,,,
Well_A,7870,7860.27,29.6,230.4,117.94,S,35.57,W,,,,
Well_A,7901,7886.33,35.9,228.6,128.84,S,48.3,W,,,,
Well_A,7932,7910.43,42,226.1,142.06,S,62.61,W,,,,
Well_A,7963,7932.57,46.8,225.1,157.23,S,78.1,W,,,,
Well_A,7994,7953,50.7,224,173.84,S,94.44,W,,,,
Well_A,8026,7972.75,53.1,222.6,192.17,S,111.7,W,,,,
Well_A,8057,7990.35,57.7,224,210.73,S,129.2,W,,,,
Well_A,8089,8006.05,63.5,225.4,230.53,S,148.81,W,,,,
Well_A,8120,8018.48,69.2,228.3,249.93,S,169.53,W,,,,
Well_A,8152,8028.31,75,228.6,270.12,S,192.31,W,,,,
Well_A,8186,8034.56,83.8,227.6,292.42,S,217.15,W,,,H80,80 DEGREE HEEL POINT
Well_A,8218,8036.13,90.6,226.9,314.1,S,240.61,W,,,,
Well_A,8249,8035.31,92.4,226.9,335.27,S,263.24,W,,,,
Well_A,8279,8034.29,91.5,227.6,355.62,S,285.25,W,,,,
Well_A,8314,8033.32,91.7,227.2,379.31,S,311.01,W,,,,
Well_A,8346,8032.95,89.6,227.9,400.9,S,334.62,W,,,,
Well_A,8377,8033.14,89.7,227.9,421.68,S,357.62,W,,,,
Well_A,8409,8033.14,90.3,227.2,443.28,S,381.23,W,,,,
Well_A,8440,8032.84,90.8,227.6,464.26,S,404.05,W,,,,
Well_A,8472,8032.93,88.9,227.9,485.77,S,427.74,W,,,,
Well_A,8502,8033.37,89.4,227.9,505.88,S,449.99,W,,,,
Well_A,8564,8034.67,88.2,227.6,547.56,S,495.87,W,,,,
Well_A,8627,8035.83,89.7,227.6,590.03,S,542.39,W,,,,
Well_A,8658,8035.31,92.2,228.6,610.73,S,565.46,W,,,,
Well_A,8720,8033.31,91.5,228.3,651.83,S,611.83,W,,,,
Well_A,8783,8031,92.7,228.3,693.71,S,658.84,W,,,,
Well_A,8847,8028.49,91.8,228.3,736.26,S,706.58,W,,,,
Well_A,8910,8026.9,91.1,226.9,778.72,S,753.09,W,,,,
Well_A,8973,8026.13,90.3,227.6,821.48,S,799.35,W,,,,
Well_A,9036,8025.03,91.7,227.2,864.12,S,845.72,W,,,,
Well_A,9099,8023.49,91.1,226.5,907.19,S,891.66,W,,,,
Well_A,9161,8021.59,92.4,226.1,950,S,936.47,W,,,,
Well_A,9224,8019.34,91.7,226.5,993.5,S,981.98,W,,,,
Well_A,9285,8017.05,92.6,226.1,1035.62,S,1026.05,W,,,,
Well_A,9328,8015.1,92.6,226.1,1065.4,S,1057,W,,,PE,"PROJECTED, END POINT"
