wellId,MD,Inclination,Azimuth,TVD,TVDSS,North,East,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_A,0,0,172.94,0,-176,0,0,775536.12,3296870.96,0,172.94,0,0,0,40.2,40.2,6.32,0,29.77150556,47.84973833,29.77150556,47.84973833
well_A,86.11,0.32,172.94,86.11,-89.89,-0.24,0.03,775536.13,3296870.89,0.37,149.75,0.37,200.84,0.24,40.2,40.2,6.46,262.94,29.77150556,47.84973833,29.771505,47.84973833
well_A,184.82,0.26,181.01,184.82,8.82,-0.74,0.06,775536.14,3296870.74,0.07,124.96,-0.06,8.18,0.74,40.2,40.2,6.46,264.67,29.77150556,47.84973833,29.77150361,47.84973833
well_A,284.94,0.22,201.57,284.94,108.94,-1.14,-0.02,775536.12,3296870.61,0.09,171.87,-0.04,20.54,1.13,40.21,40.2,6.47,269.91,29.77150556,47.84973833,29.7715025,47.84973806
well_A,385.09,0.21,201.96,385.09,209.09,-1.49,-0.15,775536.07,3296870.51,0.01,173.55,-0.01,0.39,1.46,40.21,40.21,6.48,275.39,29.77150556,47.84973833,29.77150167,47.8497375
well_A,485.26,0.14,205.21,485.26,309.26,-1.77,-0.28,775536.04,3296870.42,0.07,-26.18,-0.07,3.24,1.72,40.22,40.21,6.49,279.22,29.77150556,47.84973833,29.77150083,47.84973722
well_A,584.5,0.19,198,584.5,408.5,-2.04,-0.38,775536,3296870.34,0.05,-139.91,0.05,-7.27,1.97,40.23,40.21,6.5,281.41,29.77150556,47.84973833,29.7715,47.84973694
well_A,685.43,0.13,128.35,685.43,509.43,-2.27,-0.34,775536.02,3296870.27,0.19,-36.51,-0.06,-69.01,2.2,40.24,40.22,6.51,98.02,29.77150556,47.84973833,29.77149944,47.84973694
well_A,787.04,0.19,115.86,787.04,611.04,-2.41,-0.1,775536.09,3296870.22,0.07,-87.98,0.06,-12.29,2.38,40.25,40.22,6.53,90.55,29.77150556,47.84973833,29.77149917,47.84973778
well_A,885.45,0.23,83.53,885.44,709.44,-2.46,0.25,775536.19,3296870.21,0.13,-44.66,0.04,-32.85,2.47,40.26,40.23,6.55,83.17,29.77150556,47.84973833,29.77149889,47.84973889
well_A,984,0.29,72.75,983.99,807.99,-2.37,0.68,775536.33,3296870.24,0.08,-101.75,0.06,-10.94,2.43,40.26,40.24,6.57,75.45,29.77150556,47.84973833,29.77149917,47.84974028
well_A,1084.82,0.29,49.25,1084.81,908.81,-2.12,1.12,775536.46,3296870.31,0.12,0.72,0,-23.31,2.25,40.27,40.24,6.59,67.68,29.77150556,47.84973833,29.77149972,47.84974167
well_A,1184.73,0.58,49.61,1184.72,1008.72,-1.63,1.69,775536.64,3296870.46,0.29,0.22,0.29,0.36,1.84,40.28,40.25,6.62,59.66,29.77150556,47.84973833,29.77150111,47.84974333
well_A,1284.77,0.86,49.68,1284.75,1108.75,-0.82,2.65,775536.93,3296870.71,0.28,62.44,0.28,0.07,1.16,40.28,40.26,6.64,51.16,29.77150556,47.84973833,29.77150333,47.84974639
well_A,1384.82,0.94,57.92,1384.79,1208.79,0.1,3.92,775537.32,3296870.99,0.15,80.5,0.08,8.24,0.41,40.3,40.27,6.67,42.39,29.77150556,47.84973833,29.77150556,47.84975056
well_A,1483.71,1,70.43,1483.66,1307.66,0.82,5.42,775537.77,3296871.21,0.22,99.32,0.06,12.65,-0.11,40.31,40.28,6.71,34.87,29.77150556,47.84973833,29.7715075,47.84975528
well_A,1584.75,1.01,92.06,1584.69,1408.69,1.09,7.14,775538.3,3296871.29,0.37,88.41,0.01,21.41,-0.14,40.33,40.3,6.74,30.02,29.77150556,47.84973833,29.77150806,47.84976083
well_A,1683.77,1.27,127.82,1683.69,1507.69,0.38,8.88,775538.83,3296871.08,0.75,-46.96,0.26,36.11,0.79,40.35,40.31,6.78,209.35,29.77150556,47.84973833,29.77150611,47.84976611
well_A,1784.94,1.36,123.9,1784.83,1608.83,-0.97,10.76,775539.4,3296870.66,0.13,-167.97,0.09,-3.87,2.38,40.37,40.32,6.82,210.45,29.77150556,47.84973833,29.77150222,47.84977194
well_A,1883.59,1.19,122.15,1883.46,1707.46,-2.17,12.6,775539.96,3296870.3,0.18,-161.11,-0.17,-1.77,3.81,40.4,40.34,6.86,210.59,29.77150556,47.84973833,29.77149889,47.84977778
well_A,1983.82,0.98,117.89,1983.67,1807.67,-3.13,14.24,775540.46,3296870.01,0.22,158.09,-0.21,-4.25,4.97,40.42,40.35,6.9,30.49,29.77150556,47.84973833,29.77149611,47.84978278
well_A,2083.74,0.78,123.94,2083.58,1907.58,-3.91,15.56,775540.86,3296869.77,0.22,-62.64,-0.2,6.05,5.91,40.45,40.37,6.95,210.49,29.77150556,47.84973833,29.77149389,47.84978694
well_A,2184.41,0.79,122.57,2184.24,2008.24,-4.66,16.71,775541.22,3296869.54,0.02,-146.74,0.01,-1.36,6.81,40.48,40.38,7,210.63,29.77150556,47.84973833,29.77149167,47.84979056
well_A,2285.21,0.67,115.54,2285.03,2109.03,-5.29,17.83,775541.56,3296869.35,0.15,179.68,-0.12,-6.97,7.58,40.51,40.4,7.05,30.49,29.77150556,47.84973833,29.77149,47.84979389
well_A,2384.62,0.5,115.65,2384.44,2208.44,-5.73,18.75,775541.84,3296869.21,0.17,-3.99,-0.17,0.11,8.14,40.54,40.42,7.1,30.16,29.77150556,47.84973833,29.77148861,47.84979694
