wellId,md,inc,azim,tvd,TVD from Fld Ref,n_s_deviaition,e_w_deviation,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_C,0,0,227.11,0,-118,0,0,769516,3300805,0,0,0,0,0,0,0,0,0,29.80829444,47.78852083,29.80829444,47.78852083
well_C,35,0,227.11,35,-83,0,0,769516,3300805,0,-132.89,0,0,0,40.2,40.2,6.32,0,29.80829444,47.78852083,29.80829444,47.78852083
well_C,774.81,0.46,227.11,774.8,656.8,-2.02,-2.18,769515.34,3300804.38,0.06,-163.87,0.06,-17.96,-2.87,40.26,40.22,6.53,317.11,29.80829444,47.78852083,29.80828889,47.78851389
well_C,800,0.13,163.86,799.99,681.99,-2.12,-2.24,769515.32,3300804.35,1.66,79.53,-1.31,-251.09,-2.98,40.26,40.22,6.53,136.51,29.80829444,47.78852083,29.80828889,47.78851361
well_C,900,0.57,230.43,899.99,781.99,-2.54,-2.59,769515.21,3300804.22,0.53,121.54,0.44,66.57,-3.53,40.28,40.23,6.55,314.64,29.80829444,47.78852083,29.8082875,47.7885125
well_C,1000,0.49,254.47,999.99,881.99,-2.97,-3.39,769514.97,3300804.09,0.23,161.66,-0.08,24.04,-4.32,40.29,40.24,6.57,316.84,29.80829444,47.78852083,29.80828639,47.78851
well_C,1100,0.29,268.25,1099.98,981.98,-3.1,-4.05,769514.76,3300804.06,0.22,-139.05,-0.2,13.78,-4.77,40.31,40.24,6.59,319.31,29.80829444,47.78852083,29.80828611,47.78850778
well_C,1200,0.6,147.67,1199.98,1081.98,-3.55,-4.03,769514.77,3300803.92,0.79,138.06,0.31,-120.58,-5.14,40.32,40.25,6.62,139.03,29.80829444,47.78852083,29.808285,47.78850778
well_C,1300,0.53,236.56,1299.98,1181.98,-4.24,-4.13,769514.74,3300803.71,0.79,-86.08,-0.07,88.89,-5.79,40.34,40.26,6.65,318.47,29.80829444,47.78852083,29.80828306,47.7885075
well_C,1400,0.83,190.05,1399.97,1281.97,-5.21,-4.65,769514.58,3300803.41,0.6,168.55,0.3,-46.51,-6.88,40.36,40.28,6.68,137.12,29.80829444,47.78852083,29.80828028,47.78850583
well_C,1500,0.61,342.93,1499.97,1381.97,-5.42,-4.93,769514.5,3300803.35,1.4,-167.19,-0.22,152.88,-7.2,40.38,40.29,6.71,318.76,29.80829444,47.78852083,29.80828,47.78850472
well_C,1600,0.87,184.69,1599.97,1481.97,-5.66,-5.15,769514.43,3300803.27,1.45,9.19,0.26,-158.24,-7.53,40.4,40.31,6.75,143.24,29.80829444,47.78852083,29.80827917,47.78850417
well_C,1700,1.17,187.06,1699.95,1581.95,-7.43,-5.33,769514.37,3300802.73,0.3,57.89,0.3,2.37,-9.13,40.43,40.33,6.78,145.34,29.80829444,47.78852083,29.80827444,47.78850333
well_C,1800,1.27,193.66,1799.93,1681.93,-9.52,-5.72,769514.26,3300802.1,0.17,143.78,0.1,6.6,-11.11,40.45,40.35,6.82,142.15,29.80829444,47.78852083,29.80826861,47.78850194
well_C,1900,1.21,195.77,1899.9,1781.9,-11.62,-6.27,769514.09,3300801.46,0.08,-103.16,-0.06,2.11,-13.18,40.48,40.36,6.86,139.45,29.80829444,47.78852083,29.80826306,47.78850028
well_C,2000,1.18,185.77,1999.88,1881.88,-13.66,-6.66,769513.97,3300800.83,0.21,99.05,-0.03,-10,-15.12,40.51,40.38,6.91,136.82,29.80829444,47.78852083,29.80825722,47.78849889
well_C,2100,1.24,214.81,2099.86,1981.86,-15.57,-7.38,769513.75,3300800.25,0.61,-132.91,0.06,29.04,-17.12,40.54,40.39,6.95,134.98,29.80829444,47.78852083,29.80825222,47.78849639
well_C,2200,1.07,203.82,2199.84,2081.84,-17.31,-8.38,769513.45,3300799.72,0.28,-82.55,-0.17,-10.99,-19.13,40.57,40.41,7,133.79,29.80829444,47.78852083,29.8082475,47.78849306
well_C,2300,1.14,189.81,2299.82,2181.82,-19.15,-8.92,769513.28,3300799.16,0.28,79.35,0.07,-14.01,-20.97,40.6,40.43,7.05,132.08,29.80829444,47.78852083,29.8082425,47.78849111
well_C,2400,1.16,194.18,2399.8,2281.8,-21.11,-9.34,769513.15,3300798.56,0.09,-141.54,0.02,4.37,-22.86,40.64,40.45,7.11,130.29,29.80829444,47.78852083,29.80823694,47.78848972
well_C,2500,0.86,109.65,2499.79,2381.79,-22.34,-8.88,769513.29,3300798.19,1.38,140.21,-0.3,-84.53,-23.66,40.66,40.47,7.16,127.9,29.80829444,47.78852083,29.80823361,47.78849111
well_C,2600,0.95,214.46,2599.78,2481.78,-23.28,-8.64,769513.36,3300797.9,1.44,-37.18,0.09,104.81,-24.33,40.69,40.49,7.22,125.72,29.80829444,47.78852083,29.80823111,47.78849167
well_C,2700,1.22,205.35,2699.77,2581.77,-24.92,-9.57,769513.08,3300797.4,0.32,-153.99,0.27,-9.11,-26.22,40.73,40.52,7.28,125.35,29.80829444,47.78852083,29.80822667,47.78848861
well_C,2800,0.82,190.63,2799.75,2681.75,-26.59,-10.16,769512.9,3300796.89,0.48,-77.88,-0.4,-14.72,-27.94,40.77,40.54,7.34,124.28,29.80829444,47.78852083,29.80822194,47.78848667
well_C,2900,0.83,187.75,2899.74,2781.74,-28.01,-10.39,769512.83,3300796.46,0.04,33.84,0.01,-2.88,-29.27,40.82,40.56,7.41,122.98,29.80829444,47.78852083,29.80821806,47.78848583
well_C,3000,0.98,193.45,2999.73,2881.73,-29.56,-10.68,769512.74,3300795.99,0.17,-144.94,0.15,5.7,-30.74,40.86,40.59,7.48,121.86,29.80829444,47.78852083,29.80821389,47.788485
well_C,3100,0.87,188.19,3099.71,2981.71,-31.14,-10.99,769512.65,3300795.5,0.14,48.77,-0.11,-5.26,-32.25,40.91,40.61,7.55,120.85,29.80829444,47.78852083,29.80820944,47.78848389
well_C,3200,1.25,205.4,3199.7,3081.7,-32.88,-11.57,769512.47,3300794.97,0.49,-133.73,0.38,17.21,-34.03,40.96,40.63,7.62,120.2,29.80829444,47.78852083,29.80820472,47.78848194
well_C,3300,1.06,130.09,3299.68,3181.68,-34.46,-11.33,769512.55,3300794.49,1.42,133.72,-0.19,-75.31,-35.24,41,40.66,7.69,118.99,29.80829444,47.78852083,29.80820056,47.7884825
well_C,3400,1.07,218.09,3399.67,3281.67,-35.79,-11.19,769512.59,3300794.09,1.48,81.16,0.01,88,-36.3,41.04,40.69,7.77,298.01,29.80829444,47.78852083,29.80819667,47.78848278
well_C,3500,1.34,247.16,3499.65,3381.65,-36.98,-12.85,769512.08,3300793.72,0.66,-173.43,0.27,29.07,-38.19,41.1,40.72,7.85,298.57,29.80829444,47.78852083,29.80819361,47.7884775
well_C,3600,1.03,245.17,3599.63,3481.63,-37.81,-14.74,769511.5,3300793.47,0.31,-40.94,-0.31,-1.99,-39.89,41.14,40.75,7.93,299.75,29.80829444,47.78852083,29.80819139,47.78847139
well_C,3700,1.17,239.46,3699.61,3581.61,-38.71,-16.44,769510.99,3300793.2,0.18,-34.96,0.14,-5.71,-41.55,41.2,40.78,8.01,300.81,29.80829444,47.78852083,29.80818917,47.78846611
