UWI,Measured Depth,TV Depth,Deviation Angle,Deviation Azimuth,Deviation N/S,N/S,Deviation E/W,E/W,PRODFit Formation Code,PRODFit Formation Name,Point Type Code,Point Type Name,Surface Latitude,Surface Longitude,BH Latitude,BH Longitude
well_d,0,0,0,0,0,N,0,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,100,100,0.3,170.2,0.22,S,0.04,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,200,200,0.4,171.4,0.77,S,0.13,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,300,300,0.3,223.4,1.27,S,0,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,400,399.99,0.7,221.8,1.9,S,0.57,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,500,499.98,1.,179.7,3.22,S,0.96,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,600,599.96,1.3,175.8,5.27,S,0.87,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,700,699.94,1.3,171.6,7.52,S,0.62,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,800,799.89,2.,173.1,10.36,S,0.25,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,900,899.82,2.5,190.6,14.27,S,0.44,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1000,999.72,2.4,207.5,18.31,S,1.83,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1100,1099.65,1.9,195.3,21.82,S,3.25,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1200,1199.6,1.8,209.3,24.82,S,4.46,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1300,1299.55,1.8,212.3,27.5,S,6.06,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1400,1399.5,1.7,210.,30.11,S,7.64,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1509,1508.46,3.2,32.8,28.96,S,6.81,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1667,1666.27,3,331.5,21.62,S,6.39,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,1857,1856.16,1.2,41.5,15.76,S,7.45,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2047,2046.11,1.3,45.1,12.75,S,4.6,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2237,2236.07,1.1,34.1,9.72,S,2.05,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2427,2426.06,0.2,109.8,8.32,S,0.72,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2617,2616.05,0.8,206.6,9.62,S,1,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2807,2806.04,0.5,159.2,11.58,S,1.3,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,2997,2996.03,0.5,107.2,12.6,S,0.21,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,3187,3186.03,0.7,16.5,11.73,S,0.91,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,3376,3375.02,0,272.1,10.62,S,1.24,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,3566,3565.02,0.1,22.9,10.47,S,1.3,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,3756,3755.02,0.3,104,10.44,S,1.85,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,3946,3945.01,1,209.3,12,S,1.52,E,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,4136,4134.99,0.8,281.7,13.18,S,0.59,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,4327,4325.97,0.9,279.1,12.67,S,3.38,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,4516,4514.96,0.2,332.9,12.14,S,4.99,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,4707,4705.96,0.4,7.2,11.19,S,5.06,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,4897,4895.95,0.8,31.7,9.4,S,4.28,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,5087,5085.94,0.3,26.6,7.83,S,3.36,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,5277,5275.94,0.5,115.5,7.74,S,2.39,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,5467,5465.93,0.2,161.7,8.41,S,1.54,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,5657,5655.93,0.2,277.5,8.68,S,1.76,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,5848,5846.93,0.8,284.1,8.31,S,3.39,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6038,6036.91,0.8,263,8.15,S,5.99,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6228,6226.9,0.5,135,8.9,S,6.72,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6418,6416.9,0.1,354.3,9.32,S,6.15,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6609,6607.9,0.1,91,9.16,S,6,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6799,6797.9,0.3,171.1,9.65,S,5.76,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,6989,6987.89,0.8,302.4,9.43,S,6.8,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7085,7083.88,0.7,262.2,9.15,S,7.95,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7180,7178.88,0.9,260.7,9.35,S,9.26,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7275,7273.86,1,279.6,9.34,S,10.81,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7371,7369.84,1.3,282.9,8.95,S,12.7,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7466,7464.82,1.3,279.8,8.53,S,14.81,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7561,7559.8,1,334,7.6,S,16.24,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7656,7654.79,1,329.1,6.14,S,17.03,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7742,7740.77,1.1,302.1,5.06,S,18.11,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7782,7780.77,0.9,299.8,4.7,S,18.71,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7814,7812.74,3.5,303.2,4.04,S,19.75,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7846,7844.61,6.6,298.7,2.62,S,22.18,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7878,7876.32,9,314.1,0,N,25.59,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7910,7907.84,10.8,318.2,3.98,N,29.38,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7941,7938.15,13.4,311.7,8.54,N,34,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,7973,7969.12,15.8,306.3,13.58,N,40.28,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8005,7999.57,19.9,301.4,19,N,48.45,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8036,8028.43,22.9,298.3,24.61,N,58.26,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8068,8057.51,26.4,296.7,30.76,N,70.11,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8100,8085.57,31,297.2,37.73,N,83.8,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8131,8111.82,33.3,298.7,45.47,N,98.36,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8163,8138.24,35.4,300.3,54.36,N,114.07,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8195,8163.74,38.9,300.4,64.12,N,130.75,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8226,8187.15,43,300.9,74.48,N,148.22,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8258,8210.03,45.7,302,86.16,N,167.3,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8290,8231.93,47.9,302.1,98.54,N,187.07,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8321,8252.19,50.5,301.6,110.92,N,207,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8353,8271.93,53.3,300.8,123.96,N,228.54,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8385,8290.58,55.4,300.2,137.15,N,250.95,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8416,8307.98,56.3,298.6,149.74,N,273.3,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8448,8325.13,58.9,297.3,162.4,N,297.16,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8480,8341.08,61.3,297,175.06,N,321.84,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8512,8356.1,62.7,297.1,187.91,N,347.01,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8544,8370.13,65.3,297.9,201.19,N,372.52,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8575,8382.34,68.3,299.5,214.87,N,397.5,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8607,8393.2,72,300.7,229.97,N,423.53,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8639,8402.59,73.9,301,245.66,N,449.8,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8671,8410.89,76,301,261.57,N,476.29,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
well_d,8702,8417.6,79,301,277.16,N,502.22,W,,,,,33.4733248,-97.4751586,33.4774807,-97.4837642
